n1	t	n2
crasseux II	Syn	crade II
crasseux II	Syn	cradingue II
crasseux II	Syn	crado II
crasseux II	Syn	cradoque II
crasseux II	Syn	craspec II
crasseux II	Syn_⊃	dégueu II.1
crasseux II	Syn_⊃	dégueulasse II.1
faire piètre figure II	Syn	faire mauvaise figure
faire piètre figure II	Syn	faire triste figure
faire piètre figure II	Syn	faire pâle figure
organisation II	Syn_∩	institution I.2
paire de fesses	Syn_∩	fesses I.a
paire de fesses	Syn	cul I.1
paire de fesses	Syn	derrière N II
paire de fesses	Syn	panier III
paire de fesses	Syn	arrière-train 2
paire de fesses	Syn	postérieur N
paire de fesses	Syn	séant N
paire de fesses	Syn	miches II
paire de fesses	Syn	pétard II
paire de fesses	Syn	croupe II
paire de fesses	Syn	croupion II
paire de fesses	Syn	fessier N 2
paire de fesses	Syn	popotin
paire de fesses	Syn	derche
paire de fesses	Syn	lune III
palais 1 2	Syn_⊂	salle I.2
de loin	Syn_∩	vaguement
en rien	Syn_∩	nullement
parc I.3	Syn_⊃	zoo
figure humaine II	Syn_⊂	apparence I.1
crasseux III.1	Syn	cracra III
crasseux III.1	Syn	crade III
crasseux III.1	Syn	cradingue III
crasseux III.1	Syn	crado III
crasseux III.1	Syn	cradoque III
partie III.2	S_2^prototyp	chasse
partie III.2	S_2^prototyp	pêche 1
champagne II.b	Gener	boisson I
champagne II.b	Gener	boisson alcoolisée
tube II.b	Gener	contenu N I
cocagne	Anti_∩	famine
sac 1b	Gener	contenu N I
genre humain	Syn_∩	homme 1a
flûte N II.b	Gener	contenu N I
coupe 1 I.b	Gener	contenu N I
Champage I	Gener	région I.2
crado I.2	Syn_⊂	sale Adj I.2
crado I.2	Syn	cracra I.2
crado I.2	Syn	crade I.2
crado I.2	Syn	cradingue I.2
crado I.2	Syn	cradoque I.2
crado I.2	Syn_⊃	dégueu I.2
crado I.2	Syn_⊃	dégueulasse I.2
tranquille II	Syn_∩	calme Adj I
crado II	Syn_⊂	sale Adj II.1
crado II	Syn	cracra II
crado II	Syn	crade II
crado II	Syn	cradingue II
crado II	Syn	cradoque II
crado II	Syn	craspec II
crado II	Syn	crasseux II
crado II	Syn_⊃	dégueu II.1
crado II	Syn_⊃	dégueulasse II.1
crado III	Syn	cracra III
crado III	Syn	crade III
crado III	Syn	cradingue III
crado III	Syn	cradoque III
crado III	Syn	crasseux III.1
crado III	Syn_⊂	sale Adj III
crado V.2	Syn	crasseux III.2
crado V.2	Syn	crade VI.2
crado V.2	Syn_⊂	sale Adj V.2
crado IV	Syn_⊂	sale Adj IV
crado IV	Syn	cracra IV
crado IV	Syn	crade IV
crado IV	Syn	cradingue VI
crado IV	Syn	cradoque IV
crado IV	Syn	craspec III
crado VI.2	Syn	cradingue VII
crado VI.2	Syn	cracra VII
crado VI.2	Syn	crade VI.3
crado VI.2	Syn	craspec V.3
de II.3	Syn_∩	à I.2
cœur III.2	Syn_∩	chatte II
cœur III.2	Syn_∩	chérie 2
cœur III.2	Syn_∩	poussin II
cœur III.2	Syn_∩	puce II
biche I	Gener	animal N I.1a
biche I	Masc	cerf
biche II	Syn_∩	chatte II
biche II	Syn_∩	chérie 2
biche II	Syn_∩	puce II
biche II	Syn_∩	poule 1 III
faire vite	Syn_∩	se dépêcher I
faire vite	Syn_∩	courir IV.1
faire vite	Syn_∩	courir la poste
coin III.2	Syn_∩	aire II
coin III.2	Syn_∩	espace N, masc I.2b
se dépêcher II	Syn_∩	courir I.2
se dépêcher II	Syn_⊂	aller V I.1a
chérie 2	Syn_∩	biche II
chérie 2	Syn_∩	chatte II
chérie 2	Syn_∩	cœur III.2
chérie 2	Syn_∩	puce II
chérie 2	Syn_⊂^sex	chéri N 2
droit Adj 1 II	Syn_∩	vertical I
gastronomique	Syn_∩	gourmand Adj II
banquet	Syn_∩	festin
banquet	Syn_∩	repas I.2
banquet	Syn_∩	réception II
festin	Syn_∩	banquet
festin	Syn_∩	repas I.2
festin	Syn_∩	réception II
réception II	Syn_∩	repas I.2
Œil pour œil, dent pour dent 1	Anc	vengeance
crado VI.1	Syn_∩	cracra V
crado VI.1	Syn_∩	cradingue VI
pièce II.5a-1	Syn_⊂	vêtement I.1
pisser	Syn_∩	uriner
pisseur	Syn_⊃^sex	pisseuse I
larguer	Syn_∩	se débarrasser I
larguer	Syn_∩	jeter III.1
amarre	S_2^prototyp	bateau N 1 I
amarre	LiquFunc_0	larguer
amarre	LiquFunc_0	lâcher I.1
amarre	LiquFunc_0	rompre I
pisseuse I	Syn_⊂^sex	pisseur
large N I	Syn_∩	mer I.1
large N I	Contr	côte 2
réprimander	S_0	réprimande
réprimander	Syn_∩	caresser les oreilles
réprimander	Syn_∩	frotter les oreilles
réprimander	Syn_∩	laver la tête
réprimander	Syn_∩	tirer l’oreille
réprimander	Syn	botter les fesses II
crado V.1	Syn_⊂	sale Adj V.1
comme un cochon II	Syn_∩	beaucoup II
comme un cochon II	Syn_∩	comme un porc II
cracra II	Syn_⊂	sale Adj II.1
cracra II	Syn	crade II
cracra II	Syn	cradingue II
cracra II	Syn	crado II
cracra II	Syn	cradoque II
cracra II	Syn	craspec II
cracra II	Syn	crasseux II
cracra II	Syn_⊃	dégueu II.1
cracra II	Syn_⊃	dégueulasse II.1
cracra IV	Syn_⊂	sale Adj IV
cracra IV	Syn	crade IV
cracra IV	Syn	cradingue VI
cracra IV	Syn	crado IV
cracra IV	Syn	cradoque IV
cracra IV	Syn	craspec III
cracra IV	Syn_⊃	dégueu IV.1
cracra IV	Syn_⊃	dégueulasse IV.1
cracra V	Syn_∩	crado VI.1
cracra VI.1	Syn_∩	malsain II
cracra VI.1	Syn_∩	mauvais Adj I.2
marchand de tapis I	Syn_⊂	commerçant
cracra VI.2	Syn_∩	sale Adj V.2
cracra VI.2	Syn_∩	malpropre V.2
cracra VII	Syn_∩	crado VI.2
cracra VII	Syn_∩	cradingue VII
cracra I.2	Syn_⊂	sale Adj I.2
cracra I.2	Syn	crade I.2
cracra I.2	Syn	cradingue I.2
cracra I.2	Syn	crado I.2
cracra I.2	Syn	cradoque I.2
cracra I.2	Syn_⊃	dégueu I.2
cracra I.2	Syn_⊃	dégueulasse I.2
signataire N, fém	Syn_⊂^sex	signataire N, masc
poids II	Syn_⊂	objet I.1
cracra III	Syn	crade III
cracra III	Syn	cradingue III
cracra III	Syn	crado III
cracra III	Syn	cradoque III
cracra III	Syn	crasseux III.1
cracra III	Syn_⊂	sale Adj III
cracra III	Syn_⊃	dégueu III
cracra III	Syn_⊃	dégueulasse III
mandat II	Syn_∩	chèque
traite 2	Syn_∩	chèque
espèces	Syn_∩	liquide N II
liquide N II	Contr	chèque
liquide N II	Syn_∩	espèces
cash	Contr	chèque
bénéficiaire N, fém	Syn_⊂^sex	bénéficiaire N, masc
carte de crédit	Syn	carte bleue
point N IV.1	Syn_∩	sujet N I.1
cradingue I.2	Syn_⊂	sale Adj I.2
cradingue I.2	Syn	cracra I.2
cradingue I.2	Syn	crade I.2
cradingue I.2	Syn	crado I.2
cradingue I.2	Syn	cradoque I.2
cradingue I.2	Syn_⊃	dégueu I.2
cradingue I.2	Syn_⊃	dégueulasse I.2
point N II	Syn_∩	degré
pomme III	Syn_∩	tête II.1a
carte bleue	Syn	carte de crédit
détruire II	Syn_∩	ravager
cradingue II	Syn_⊂	sale Adj II.1
cradingue II	Syn	cracra II
cradingue II	Syn	crade II
cradingue II	Syn	crado II
cradingue II	Syn	cradoque II
cradingue II	Syn	craspec II
cradingue II	Syn	crasseux II
cradingue II	Syn_⊃	dégueu II.1
cradingue II	Syn_⊃	dégueulasse II.1
émettre II.3	Syn	diffuser I.2
émettre II.3	Able_1	émetteur Adj II
rédiger 2	Syn_∩	remplir III
cradingue III	Syn_⊂	sale Adj III
cradingue III	Syn	cracra III
cradingue III	Syn	crade III
cradingue III	Syn	crado III
cradingue III	Syn	cradoque III
cradingue III	Syn	crasseux III.1
remplir III	Syn_∩	compléter
cradingue IV.1	Syn_⊂	sale Adj V.1
établir II	Syn_⊂	faire I
établir II	Syn_∩	dresser III.2
patte II.2	Syn_∩	griffe IV.2a
cradingue VII	Syn	cracra VII
cradingue VII	Syn	crado VI.2
tirer III.3	Syn_∩	remettre II
cradingue VI	Syn_⊂	sale Adj IV
cradingue VI	Syn	cracra IV
cradingue VI	Syn	crade IV
cradingue VI	Syn	crado IV
cradingue VI	Syn	cradoque IV
cradingue VI	Syn	craspec III
toucher V V	Syn_∩	encaisser I
tuer III	Syn_∩	bouffer 1 IV.4a
plat N I.1	Gener	récipient
œuf sur le plat	Syn	œufs au plat I
cradingue IV.2	Syn	crade VI.1
fou Adj II.2	Syn_∩	fanatique Adj II
fou Adj II.2	Syn_∩	malade Adj IV
drosophile	Syn	mouche du vinaigre
drosophile	Syn_∩	mouche I
mouche du vinaigre	Syn	drosophile
mouche du vinaigre	Syn_∩	mouche I
mouche du vinaigre	Gener	insecte I.a
mouche du vinaigre	Gener	insectes I.b
cradingue V	Syn_∩	immoral
se bouffer V	Syn	bouffer 1 VI.3
se bouffer V	Syn	manger V VI.1b
se bouffer V	Syn	se manger III.a
se bouffer V	Syn_∩	empiéter I
poste N, masc I	Syn_∩	local N
pré	Syn_∩	prairie
accomplir II	S_0	accomplissement II.1
accomplissement II.1	V_0	accomplir II
s’accomplir II	S_0	accomplissement II.2
accomplissement II.2	V_0	s’accomplir II
raison 2	Syn_⊂	cause I
raison 2	Syn_∩	explication II.1
rhum	Gener	boisson I
rhum	Gener	boisson alcoolisée
boulot	Syn_∩	emploi II.a
boulot	Syn_∩	travail 1 I.2
dodo I	Syn_∩	sommeil I.1a
saint Adj I.1	Syn_∩	sacré I
saint Adj I.1	S_0Pred	sainteté II
salle I.1	Syn_∩	pièce III.a
au nom I	Syn_∩	pour Prép I
saut I.1	V_0	sauter I.1
saut I.1	Syn_∩	bond
service II	Syn_∩	bureau II.3a
craspec II	Syn_⊂	sale Adj II.1
craspec II	Syn	cracra II
craspec II	Syn	crade II
craspec II	Syn	cradingue II
craspec II	Syn	crado II
craspec II	Syn	cradoque II
craspec II	Syn	crasseux II
craspec II	Syn_⊃	dégueu II.1
craspec II	Syn_⊃	dégueulasse II.1
siège éjectable I	S_2^prototyp	avion I
alpin	Syn	alpestre
craspec III	Syn_⊂	sale Adj IV
craspec III	Syn	cracra IV
craspec III	Syn	crade IV
craspec III	Syn	cradingue VI
craspec III	Syn	crado IV
craspec III	Syn	cradoque IV
craspec IV	Syn_⊂	sale Adj V.1
craspec V.1	Syn	crade V.2
syndicat	Syn_∩	association II
craspec V.2	Syn	crade VI.1
repos I	Syn_∩	pause
repos II	Syn_∩	inaction
craspec V.3	Syn	crade VI.3
craspec V.3	Syn	crado VI.2
langer	Syn_∩	changer IV
honneur II.2	Syn_∩	faveurs 1b
honneur II.2	S_3	honneur II.2
honneur II.2	V_0	honorer II.3
honneur II.2	V_0	faire l’honneur
chèque vacances	Syn_∩	chèque cadeau
chèque vacances	Syn_∩	chèque restaurant
chèque vacances	Syn_∩	chèque transport
chèque vacances	Syn_⊂	bon N II
chèque de voyage	Syn_∩	bon N II
chèque de voyage	Syn_∩	mandat II
chèque restaurant	Syn_∩	chèque cadeau
chèque restaurant	Syn_∩	chèque transport
chèque restaurant	Syn_∩	chèque vacances
chèque restaurant	Syn_⊂	bon N II
chèque emploi service	Syn_⊂	chèque
chèque cadeau	Syn_∩	chèque restaurant
chèque cadeau	Syn_∩	chèque transport
chèque cadeau	Syn_∩	chèque vacances
chèque cadeau	Syn_⊂	bon N II
chèque transport	Syn_∩	chèque cadeau
chèque transport	Syn_∩	chèque restaurant
chèque transport	Syn_∩	chèque vacances
chèque transport	Syn_⊂	bon N II
chèque en blanc	Syn_∩	confiance
tableau II	Syn_⊂	description
tableau II	Oper_1	dresser III.2
obscurcir I	Syn_∩	assombrir I
assombrir I	Syn_∩	obscurcir I
boucher V III	Syn_∩	cacher II
éveil II.1a	Syn_∩	développement I
diplodocus	Gener	dinosaure
taux	Syn_∩	prix I
change	Syn_⊂	conversion III
crade I.2	Syn_⊂	sale Adj I.2
crade I.2	Syn	cracra I.2
crade I.2	Syn	cradingue I.2
crade I.2	Syn	crado I.2
crade I.2	Syn	cradoque I.2
crade I.2	Syn_⊃	dégueu I.2
crade I.2	Syn_⊃	dégueulasse I.2
crade II	Syn_⊂	sale Adj II.1
crade II	Syn	cracra II
crade II	Syn	cradingue II
crade II	Syn	crado II
crade II	Syn	cradoque II
crade II	Syn	craspec II
crade II	Syn	crasseux II
crade II	Syn_⊃	dégueu II.1
crade II	Syn_⊃	dégueulasse II.1
crade III	Syn_⊂	sale Adj III
crade III	Syn	cracra III
crade III	Syn	cradingue III
crade III	Syn	crado III
crade III	Syn	cradoque III
crade III	Syn	crasseux III.1
crade IV	Syn_∩	sale Adj IV
crade IV	Syn	cracra IV
crade IV	Syn	cradingue VI
crade IV	Syn	crado IV
crade IV	Syn	cradoque IV
crade IV	Syn	craspec III
crade V.1	Syn_∩	sale Adj V.1
crade V.2	Syn_⊂	sale Adj V.2
crade V.2	Syn_∩	craspec V.1
crade VI.1	Syn	crado II
crade VI.1	Syn	crasseux II
crade VI.1	Syn	cradingue IV.2
crade VI.1	Syn	craspec V.2
crade VI.2	Syn	crado V.2
crade VI.3	Syn	crado VI.2
crade VI.3	Syn	cracra VII
crade VI.3	Syn	cradingue VII
crade VI.3	Syn	craspec V.3
Après la pluie, le beau temps	Syn_∩	Demain est un autre jour.
Après la pluie, le beau temps	Anc	optimisme
du tout	Syn_∩	le moins du monde
service I.2	Syn_⊂	travail 1 I.4
service I.2	Syn_∩	prestation 2
mule	Gener	animal N I.1a
mule	Cf	âne I
mule	Son	braire I
mule	S_0Son	braiment I
mule	EnunSon	hi-han
tiers Adj	Syn_∩	troisième Adj
souffle II	Syn_∩	bouffée I.2
bouffée I.2	Syn_⊂	souffle II
venter	S_0	vent I.1
tour N, masc II	Syn_∩	moment I.1
tour N, masc I.2	Syn_∩	circuit 1
ne pas faire long feu	Anti_∩	durer I
ballet II	SingS_1⊃	danseur b
ballet II	SingS_1⊃	danseuse b
vocalique	Anti	consonantique
trou III	Syn_∩	orifice
maison lyrique	Syn_⊂	opéra 1 II
bras long	A_1∩	influent
bras long	A_1	à III.2
bras long	Oper_1	avoir V II
cradoque I.2	Syn_⊂	sale Adj I.2
cradoque I.2	Syn	cracra I.2
cradoque I.2	Syn	crade I.2
cradoque I.2	Syn	cradingue I.2
cradoque I.2	Syn	crado I.2
cradoque I.2	Syn_⊃	dégueu I.2
cradoque I.2	Syn_⊃	dégueulasse I.2
cradoque II	Syn_⊂	sale Adj II.1
cradoque II	Syn	cracra II
cradoque II	Syn	crade II
cradoque II	Syn	cradingue II
cradoque II	Syn	crado II
cradoque II	Syn	craspec II
cradoque II	Syn	crasseux II
cradoque II	Syn_⊃	dégueu II.1
cradoque II	Syn_⊃	dégueulasse II.1
lit III.2	Syn_∩	mariage I.2
lit III.2	Syn_∩	union 2
union 2	Syn_∩	mariage I.2
union 2	Syn_∩	lit III.2
cradoque III	Syn_⊂	sale Adj III
cradoque III	Syn	cracra III
cradoque III	Syn	crade III
cradoque III	Syn	cradingue III
cradoque III	Syn	crado III
cradoque III	Syn	crasseux III.1
cradoque IV	Syn_⊂	sale Adj IV
cradoque IV	Syn	cracra IV
cradoque IV	Syn	crade IV
cradoque IV	Syn	cradingue VI
cradoque IV	Syn	crado IV
cradoque IV	Syn	craspec IV
cradoque V	Syn_⊂	sale Adj V.1
cradoque VI.1	Syn_⊂	sale Adj V.2
santé N II	S_1^prototyp	médecin N, masc
santé N II	S_1^prototyp	médecin N, fém
cradoque VI.2	Syn_∩	glauque II
seul I.2	Syn_∩	célibataire Adj
faux Adj III	Syn_∩	prétendu
cradoque VI.3	Syn	cradingue VII
bébé 1	Syn_⊃	nourrisson
léger III.1	Anti	lourd III.2
église II.1	S_1	catholique N, masc
dégueulasse I.2	Syn_⊂	sale Adj I.2
dégueulasse I.2	Syn_⊂	cracra I.2
dégueulasse I.2	Syn_⊂	crade I.2
dégueulasse I.2	Syn_⊂	cradingue I.2
dégueulasse I.2	Syn_⊂	crado I.2
dégueulasse I.2	Syn_⊂	cradoque II
dégueulasse I.2	Syn	dégueu I.2
dégueulasse II.1	Syn_⊂	sale Adj II.1
dégueulasse II.1	Syn_⊂	cracra II
dégueulasse II.1	Syn_⊂	crade II
dégueulasse II.1	Syn_⊂	cradingue II
dégueulasse II.1	Syn_⊂	crado II
dégueulasse II.1	Syn_⊂	cradoque II
dégueulasse II.1	Syn_⊂	craspec II
dégueulasse II.1	Syn_⊂	crasseux II
dégueulasse II.1	Syn	dégueu II.1
dégueulasse III	Syn_⊂	sale Adj III
dégueulasse III	Syn_⊂	cracra III
dégueulasse III	Syn_⊂	crade III
dégueulasse III	Syn_⊂	cradingue III
dégueulasse III	Syn_⊂	crado III
dégueulasse III	Syn_⊂	cradoque III
dégueulasse III	Syn_⊂	crasseux III.1
dégueulasse III	Syn	dégueu III
dégueulasse IV.1	Syn_⊂	sale Adj IV
dégueulasse IV.1	Syn_⊂	cracra IV
dégueulasse IV.1	Syn_⊂	crade IV
dégueulasse IV.1	Syn_⊂	cradingue VI
dégueulasse IV.1	Syn_⊂	crado IV
dégueulasse IV.1	Syn_⊂	cradoque IV
dégueulasse IV.1	Syn_⊂	craspec III
dégueulasse IV.1	Syn	dégueu IV.1
dégueulasse VI.1	Syn_⊂	sale Adj V.1
dégueulasse VI.1	Syn_⊂	crade V.1
dégueulasse VI.1	Syn_⊂	cradingue IV.1
dégueulasse VI.1	Syn_⊂	crado V.1
dégueulasse VI.1	Syn_⊂	cradoque V
dégueulasse VI.1	Syn_⊂	craspec IV
dégueulasse VI.1	Syn	dégueu VI.1
dégueulasse VI.3	Syn_⊂	sale Adj V.2
dégueulasse VI.3	Syn_⊂	crade V.3
dégueulasse VI.3	Syn_⊂	crado V.2
dégueulasse VI.3	Syn_⊂	cradoque VI.1
dégueulasse VI.3	Syn_⊂	crasseux III.2
dégueulasse VI.3	Syn	dégueu VI.3
dégueulasse IV.3	Syn	dégueu IV.3
casse-croûte 1	Syn_∩	en-cas
casse-croûte 1	Syn_∩	repas II.a
casse-croûte 1	Syn_∩	bouffe 2
sain II	Syn_∩	sensé
vice 1	Syn_∩	péché
vice 2	Syn_∩	défaut II
vierge N 1	Syn_⊃	pucelle
gueuleton	Syn_∩	repas I.2
immangeable	Syn_∩	mangeable
succulent	Syn_⊂	délicieux
amas 2	S_1^prototyp	nuage I
amas 2	Syn_⊃	nuage II.4
amas 2	Syn_⊂	accumulation
amoncellement	V_0	s’amonceler
amoncellement	Syn_∩	entassement I.b
amoncellement	Syn_∩	colline II
sain III	Adv_0	sainement
haut Adj II	Syn_∩	élevé Adj II
tiré I	CausPred	tirer I.2
fait Adj I.1	Syn_∩	prêt Adj 1
accuser III.2b	Syn_∩	avoir V II
faire la pluie et le beau temps	Syn_∩	régner II.1
la pluie et le beau temps	Syn_∩	banalité II
la pluie et le beau temps	Real_1	parler II.1
pluie dorée	Syn	douche dorée
panier-repas	Syn_∩	plateau-repas
coin-repas I	Cf	salle à manger
dégueulasse VI.2	Syn	dégueu VI.2
dégueulasse II.2	Syn_⊂	sale Adj II.3
dégueulasse II.2	Syn	dégueu II.2
cours 1 1b	Sing	séance 2
cours 1 1b	Sing	cours 1 1a
cours 1 1b	Syn_∩	formation II
cours 1 1b	Syn_∩	instruction I.2
cours 1 1b	Syn_∩	enseignement I.2
assurer II.1	Syn_∩	garantir I.3
taste-vin	Syn_⊂	tasse I.a
boîte II.2	Syn	entreprise II.2
dégueulasse VI.4	Syn	dégueu VI.4
bas Adj I.3	Anti	haut Adj I.3
dégueulasse IV.2	Syn	dégueu IV.2
manger la feuille de match	Syn	bouffer la feuille de match
manger la feuille de match	S_1^usual	footballeur
manger la feuille de match	S_1^usual	footballeuse
bouffer la feuille de match	Syn	manger la feuille de match
Paris	S_1	Parisien N
Paris	S_1	Parisienne
Paris	Syn_∩	Ville Lumière
Paris	A_0	parisien Adj
Paris	Gener	ville I.1a
avoir le vent dans les voiles	Syn	avoir le vent en poupe
avoir le vent dans les voiles	Syn	avoir le vent dans le dos
avoir du vent dans les voiles	A_1∩	saoul Adj I
avoir le vent dans le dos	Syn	avoir le vent dans les voiles
avoir le vent dans le dos	Syn	avoir le vent en poupe
avoir le vent en poupe	Syn	avoir le vent dans le dos
avoir le vent en poupe	Syn	avoir le vent dans les voiles
animal de ferme	Gener	animal N I.1a
animal de compagnie	Gener	animal N I.1a
animal domestique	Gener	animal N I.1a
se bouffer I	Syn	bouffer 1 I.1a
se bouffer I	Syn	se manger I
se bouffer I	Syn	manger V I.1a
se bouffer IV.2	Syn	bouffer 1 IV.2
se bouffer IV.2	Syn	manger V IV.2
se bouffer IV.2	Syn_∩	avaler V
se bouffer II	Syn	bouffer 1 I.3
se bouffer II	Syn	manger V I.4a
se bouffer II	Syn_∩	mordiller I
se bouffer III	Syn	bouffer 1 III.1
se bouffer III	Syn	manger V III
se bouffer III	Syn_∩	détruire II
cornet b	Gener	contenu N I
barquette b	Gener	contenu N I
manger des yeux 2	Syn_⊂	regarder I
plaquette b	Syn_⊂	quantité 1
se bouffer IV.1b	Syn	bouffer 1 IV.1
se bouffer IV.1b	Syn	manger V IV.1
se bouffer IV.1b	Syn_∩	utiliser I.2
pas mal I.2	Syn_∩	beaucoup I.2
quelque peu	Syn_∩	pas mal I.1
quelque peu	Syn_∩	un peu II
avoir vent	Syn_∩	apprendre I.4a
Bon vent ! I	Syn_∩	au revoir 1
brasser du vent	Syn_∩	pédaler dans la choucroute
brasser du vent	Syn_∩	dans la semoule 1
brasser du vent	Syn_∩	pédaler dans le vide
brasser du vent	Syn_∩	pédaler dans le yaourt
comme le vent I	Syn_∩	comme l’éclair
dégueu IV.2	Syn	dégueulasse IV.2
longueur II.1	Cf	mesure 1 III.2
longueur II.1	Cf	point N IV.2
longueur II.2	S_1	nageur a
longueur II.2	S_1	nageuse a
longueur II.2	Oper_1	faire II.1
longueur II.2	S_loc	piscine
longueur IV.2	Anti_∩	brièveté
longueur IV.2	Syn_∩	lenteur
pédaler dans le yaourt	Syn	pédaler dans la choucroute
pédaler dans le yaourt	Syn	dans la semoule 1
pédaler dans le yaourt	Syn	pédaler dans le vide
se bouffer IV.3	Syn	bouffer 1 IV.3
se bouffer IV.3	Syn	manger V II.2
se bouffer IV.3	Syn_∩	se taper II
se bouffer IV.3	Syn_∩	subir 1
sur un nuage	Syn_⊂	heureux Adj I
sur un nuage	Syn_∩	aux anges
sur un nuage	Syn_∩	enchanté II
sur un nuage	Syn_∩	ravi
la tête dans les nuages	Syn_∩	dans les nuages I
touiller	Syn_∩	mélanger I
touiller	Syn_∩	tourner I.2
longueur III.2	Syn_∩	distance II
longueur III.2	Gener	mesure 1 I.1b
tourner I.2	Syn_∩	mélanger I
tourner I.2	Syn_∩	touiller
dégueu VI.3	Syn	dégueulasse VI.3
dégueu IV.1	Syn	dégueulasse IV.1
dégueu IV.3	Syn	dégueulasse IV.3
dégueu VI.1	Syn	dégueulasse VI.1
dégueu VI.4	Syn	dégueulasse VI.4
drôlement II	Syn_∩	très
se manger I	Syn	bouffer 1 I.1a
se manger I	Syn	se bouffer I
se manger I	Syn	manger V I.1a
se manger IV	Syn	bouffer 1 V.2
se manger IV	Syn	manger V VI.1a
se manger III.a	Syn	bouffer 1 VI.3
se manger III.a	Syn	se bouffer V
se manger III.a	Syn	manger V VI.1b
porte à tambour	Gener	porte 1
dégueu VI.2	Syn	dégueulasse VI.2
dégueu I.2	Syn	dégueulasse I.2
dégueu I.2	Syn_⊂	sale Adj I.2
dégueu I.2	Syn_⊂	cracra I.2
dégueu I.2	Syn_⊂	crade I.2
dégueu I.2	Syn_⊂	cradingue I.2
dégueu I.2	Syn_⊂	crado I.2
dégueu I.2	Syn_⊂	cradoque I.2
s’agrandir II	Anti	diminuer III.2
dégueu V.1	Syn	dégueulasse V.1
armoire forte	Syn_∩	coffre-fort a
appelant	Syn_⊃^sex	appelante
appelante	Syn_⊂^sex	appelant
répondant	Syn_⊃^sex	répondante
dégueu II.1	Syn	dégueulasse II.1
répondante	Syn_⊂^sex	répondant
dégueu III	Syn_⊂	sale Adj III
dégueu III	Syn_⊂	cracra III
dégueu III	Syn_⊂	crasseux III.1
dégueu III	Syn_⊂	crade III
dégueu III	Syn_⊂	cradingue III
dégueu III	Syn_⊂	crado III
dégueu III	Syn_⊂	cradoque III
dégueu III	Syn	dégueulasse III
dégueu V.2	Syn	dégueulasse V.2
dégueu II.2	Syn	dégueulasse II.2
dégueulasse V.2	Syn	dégueu V.2
dégueulasse V.1	Syn	dégueu V.1
voiturette	Gener	véhicule I.b
acheminer II	Syn_⊃	conduire IV.2
dans les nuages II	Syn_∩	en l’air I
éminence	Syn_∩	colline I
fortement II	Syn_∩	violemment II
étonnamment	Syn_∩	très
singulièrement	Syn_∩	très
vraiment I.b	Syn_∩	beaucoup II
diablement	Syn_⊂	très
diablement	Syn_∩	en diable
diablement	Syn_∩	terriblement
motte II	Syn_∩	pubis
dans le vent	Syn_∩	à la mode
dans le vent	Syn_∩	dans le coup 2
dans le vent	Syn_∩	d’actualité
retenue 3	Redun	eau I.a
retenue 3	Syn_∩	chaussée 2
fin Adj I.3	Syn_∩	mince Adj 2
lobe	S_1	oreilles I.1a
lobe	S_1	nez I.a
nuée II	Syn_⊂	nuage I
bougrement	Syn_∩	beaucoup II
bougrement	Syn_∩	très
à s’y méprendre	Syn_∩	énormément 1
à s’y méprendre	Syn_∩	beaucoup II
coteau I	Syn_⊂	colline I
coteau I	Gener	élément du relief
prince de Galles I	Gener	prince
prince de Galles II	Gener	tissu I
Petit Prince I.1	Gener	personnage I
Petit Prince I.2	Gener	roman
Petit Prince II	Syn_∩	prodige II
surplomber	Syn_∩	dominer VI
arsouille	Syn_∩	racaille 1
arsouille	Syn_∩	voyou N 1
arsouille	Syn_∩	ivrogne N, masc
arnaqueur	Syn_⊃^sex	arnaqueuse
arnaqueuse	Syn_⊂^sex	arnaqueur
arnaquer	S_1	arnaqueur
arnaquer	S_1	arnaqueuse
arnaquer	S_3	arnaque
arnaquer	Syn_∩	escroquer
arnaquer	Syn_∩	voler 2 II
arnaquer	Syn_∩	blouser
arnaquer	Syn_∩	flouer
arnaquer	Syn_∩	gruger
arnaquer	Syn_∩	pigeonner 1
arnaquer	Syn_∩	plumer
arnaquer	Syn_∩	rouler 2
arnaque	Syn_∩	escroquerie
empilement	Syn_∩	colline II
sentir I.1	S_2	odeur
sentir I.1	S_instr	nez I.a
sentir I.1	S_instr	nez I.b
sentir I.1	Syn_∩	renifler II
renifler I	Syn_∩	aspirer 1 I.1a
renifler II	Syn_∩	sentir I.1
renifler II	S_2	odeur
renifler II	S_instr	nez I.a
renifler II	S_instr	nez I.b
promontoire a	Syn_∩	avancée III
promontoire b	Syn_∩	colline I
avancée III	Syn_∩	promontoire a
prodige I	Syn_∩	miracle 1
prodige II	Syn_∩	Petit Prince II
Galles I	Syn	Pays de Galles
rock N a	S_1	rocker N
rock N a	S_1	rockeuse
rock N a	Gener	musique I.3
rock N a	A_0	rock Adj
rock N a	Sing	rock N b
rock N a	Syn	rock’n’roll
rock N a	Syn_⊃	hard rock
rocker N	Syn_⊃^sex	rockeuse
rocker N	S_2	rock N a
rocker N	A_0	rockeur Adj
rockeuse	Syn_⊂^sex	rocker N
rockeuse	S_2	rock N a
rockeuse	A_0	rockeur Adj
rock Adj	S_0	rock N a
rock N b	Mult	rock N a
rock’n’roll	Syn	rock N a
rockeur Adj	S_0	rocker N
rockeur Adj	S_0	rockeuse
hard rock	Syn_⊂	rock N a
longueur V	Syn	saut en longueur
longueur V	Gener	athlétisme
